ENSG	Gene	Chr	Start	End	Source	Type
ENSG00000207194	RNU6-1026P	chr1	51048076	51048183	HGNC Symbol	snRNA
ENSG00000252825	RNU6-1253P	chr1	51215968	51216025	HGNC Symbol	snRNA
ENSG00000236624	CCDC163P	chr1	45959538	45965751	HGNC Symbol	protein_coding
ENSG00000230585	PHBP12	chr1	51246012	51246822	HGNC Symbol	pseudogene
ENSG00000237130	MRPS6P2	chr1	51312140	51312509	HGNC Symbol	pseudogene
ENSG00000265538	MIR4421	chr1	51525509	51525577	HGNC Symbol	miRNA
ENSG00000213478	CFL1P2	chr1	51623460	51624143	HGNC Symbol	pseudogene
ENSG00000222069	RN7SKP285	chr1	104066184	104066501	HGNC Symbol	misc_RNA
ENSG00000236085	ACTG1P4	chr1	104112175	104113296	HGNC Symbol	pseudogene
ENSG00000179412	HNRNPCP5	chr1	13182960	13184326	HGNC Symbol	pseudogene
ENSG00000159214	CCDC24	chr1	44457031	44462200	HGNC Symbol	protein_coding
ENSG00000243452	NBPF15	chr1	148555979	148596267	HGNC Symbol	protein_coding
ENSG00000227408	AMYP1	chr1	104256345	104262493	HGNC Symbol	pseudogene
ENSG00000164008	C1orf50	chr1	43232940	43263968	HGNC Symbol	protein_coding
ENSG00000206595	RNU6-877P	chr1	51847980	51848086	HGNC Symbol	snRNA
ENSG00000207511	RNU6-771P	chr1	13384735	13384841	HGNC Symbol	snRNA
ENSG00000252032	RNU6-1281P	chr1	52004297	52004401	HGNC Symbol	snRNA
ENSG00000143847	PPFIA4	chr1	202995626	203047868	HGNC Symbol	protein_coding
ENSG00000131236	CAP1	chr1	40505905	40538321	HGNC Symbol	protein_coding
ENSG00000227742	CALR4P	chr1	52027538	52060569	HGNC Symbol	pseudogene
ENSG00000228347	FTLP17	chr1	104695928	104696452	HGNC Symbol	pseudogene
ENSG00000211581	MIR765	chr1	156905923	156906036	HGNC Symbol	miRNA
ENSG00000266160	RN7SL612P	chr1	156955549	156955841	HGNC Symbol	misc_RNA
ENSG00000224520	KRT8P45	chr1	157043049	157044495	HGNC Symbol	pseudogene
ENSG00000235700	CYCSP52	chr1	157098154	157098463	HGNC Symbol	pseudogene
ENSG00000227850	SEPT2P1	chr1	106240661	106240840	HGNC Symbol	pseudogene
ENSG00000221643	SNORA77	chr1	203698709	203698833	HGNC Symbol	snoRNA
ENSG00000236973	GAPDHP51	chr1	52172810	52173809	HGNC Symbol	pseudogene
ENSG00000236430	KRT8P29	chr1	203841702	203843315	HGNC Symbol	pseudogene
ENSG00000228336	OR9H1P	chr1	247938212	247939138	HGNC Symbol	pseudogene
ENSG00000222952	RNA5SP41	chr1	13949679	13949779	HGNC Symbol	rRNA
ENSG00000232846	SLC25A6P3	chr1	52174734	52175612	HGNC Symbol	pseudogene
ENSG00000232908	HSD17B7P1	chr1	247990788	247991804	HGNC Symbol	pseudogene
ENSG00000230576	OR6R1P	chr1	247996651	247997590	HGNC Symbol	pseudogene
ENSG00000132763	MMACHC	chr1	45965725	45976739	HGNC Symbol	protein_coding
ENSG00000252151	RNU6-1265P	chr1	14450728	14450830	HGNC Symbol	snRNA
ENSG00000232917	HSPE1P6	chr1	203872851	203873147	HGNC Symbol	pseudogene
ENSG00000212076	MIR761	chr1	52302013	52302082	HGNC Symbol	miRNA
ENSG00000237379	CBX1P3	chr1	203923768	203924908	HGNC Symbol	pseudogene
ENSG00000230604	TSEN15P2	chr1	52325450	52325807	HGNC Symbol	pseudogene
ENSG00000232366	VDAC1P9	chr1	157693970	157694810	HGNC Symbol	pseudogene
ENSG00000224830	OR2X1P	chr1	248102275	248102961	HGNC Symbol	pseudogene
ENSG00000235829	TBCAP2	chr1	15018625	15019109	HGNC Symbol	pseudogene
ENSG00000237492	OR2L9P	chr1	248138043	248138955	HGNC Symbol	pseudogene
ENSG00000227425	MRPS21P2	chr1	157830987	157831250	HGNC Symbol	pseudogene
ENSG00000224227	OR2L1P	chr1	248153569	248154506	HGNC Symbol	pseudogene
ENSG00000200839	RNA5SP48	chr1	52439082	52439207	HGNC Symbol	rRNA
ENSG00000176754	LINC00303	chr1	204001575	204010393	HGNC Symbol	lincRNA
ENSG00000232215	OR2L6P	chr1	248166431	248167370	HGNC Symbol	pseudogene
ENSG00000175147	TMEM51-AS1	chr1	15442448	15478960	HGNC Symbol	processed_transcript
ENSG00000264613	RN7SL290P	chr1	52461412	52461709	HGNC Symbol	misc_RNA
ENSG00000197067	OR2T32P	chr1	248246936	248247898	HGNC Symbol	pseudogene
ENSG00000228369	TXNDC12-AS1	chr1	52516590	52518355	HGNC Symbol	antisense
ENSG00000241745	RN7SL788P	chr1	52615777	52616089	HGNC Symbol	misc_RNA
ENSG00000177233	OR2M1P	chr1	248285234	248286184	HGNC Symbol	pseudogene
ENSG00000226520	KIRREL-IT1	chr1	157995340	158000956	HGNC Symbol	sense_intronic
ENSG00000230489	VAV3-AS1	chr1	108507065	108537229	HGNC Symbol	antisense
ENSG00000271934	OR2AS2P	chr1	248661609	248661929	HGNC Symbol	pseudogene
ENSG00000224255	PDCL3P6	chr1	52645520	52646225	HGNC Symbol	pseudogene
ENSG00000227295	ELL2P1	chr1	158145640	158147545	HGNC Symbol	pseudogene
ENSG00000227102	OR2AS1P	chr1	248712745	248713063	HGNC Symbol	pseudogene
ENSG00000237663	DNAJC19P7	chr1	52717734	52718445	HGNC Symbol	pseudogene
ENSG00000241361	SLC25A24P1	chr1	108815565	108918572	HGNC Symbol	pseudogene
ENSG00000230942	HMGN1P5	chr1	158236543	158237110	HGNC Symbol	pseudogene
ENSG00000235084	CHCHD2P6	chr1	15931077	15931538	HGNC Symbol	pseudogene
ENSG00000117450	PRDX1	chr1	45976708	45988719	HGNC Symbol	protein_coding
ENSG00000203758	OR10T1P	chr1	158414858	158415804	HGNC Symbol	pseudogene
ENSG00000236257	EI24P2	chr1	158423988	158425063	HGNC Symbol	pseudogene
ENSG00000252417	RNU7-179P	chr1	15934573	15934640	HGNC Symbol	snRNA
